record_id,mall_name,city,zone,floor,store_name,category,sub_category,price_level,budget_min_rmb,budget_max_rmb,best_for,style_tags,target_user,estimated_time_min,visit_stage,mission_type,mission,reward,coupon_type,repurchase_trigger,ai_reason,keywords,data_status,source_note
HBIN77-001,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L1,Nike,Sportswear,Sneakers and sports fashion,Medium to High,250,1200,"sneakers, sporty casual outfits, shoe-focused trips",sporty casual sneakers streetwear comfort,"young shoppers, students, sneaker fans",30,during_visit,try_on,Try two sneaker styles and save the favorite one.,Unlock shoe bonus coupon + 150 points,category_coupon,shoe care or next sneaker launch reminder,"Strong match when the user mentions shoes, sporty style, comfort, walking, or a long mall visit.",nike shoes sneakers sports casual outfit,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-002,Hangzhou Hubin Yintai in77,Hangzhou,A/C Area,L1,adidas,Sportswear,Sports fashion,Medium to High,220,1000,sporty outfits and lifestyle sneakers,sporty casual athleisure sneakers,"young shoppers, fitness users, casual style users",25,during_visit,compare,Compare one sneaker and one apparel item for outfit match.,Unlock sportswear coupon + check-in points,category_coupon,sports apparel replacement reminder,Good alternative when Nike is crowded or when user prefers adidas style.,adidas sports sneakers casual athleisure,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-003,Hangzhou Hubin Yintai in77,Hangzhou,A Area,L1,Apple,Digital,Consumer electronics,High,3000,15000,"phone accessories, experience stop, premium tech visit",tech premium lifestyle experience,"tech lovers, tourists, premium shoppers",20,during_visit,experience,Try one device feature or accessory matching your lifestyle.,Unlock digital experience badge,points_only,device accessory or upgrade reminder,"Useful as an anchor store and experiential stop, not suitable for low budgets unless accessories are selected.",apple digital phone ipad accessory tech,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-004,Hangzhou Hubin Yintai in77,Hangzhou,A Area,L1,NIO Center,Automotive Experience,EV showroom,High,0,0,"experience, lifestyle, waiting stop, brand engagement",premium lifestyle technology experience,"families, tech users, premium lifestyle users",20,during_visit,experience,Explore one vehicle feature and complete a lifestyle check-in.,Unlock experience points,points_only,event or test-drive reminder,"Best for experiential routes and family/social shopping, not direct purchase within the app flow.",nio ev car showroom lifestyle,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-005,Hangzhou Hubin Yintai in77,Hangzhou,A Area,L1,Hermès,Luxury,Luxury fashion and leather goods,Luxury,5000,80000,"premium browsing, luxury gifting, brand discovery",luxury classic premium elegant,"high-spending shoppers, tourists, gift buyers",20,during_visit,browse,Browse one seasonal display and save a preferred item style.,Unlock luxury route badge,points_only,gift or seasonal collection reminder,"Recommended only when the user asks for luxury, premium gifts, or sightseeing-style mall experience.",hermes luxury bag leather premium,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-006,Hangzhou Hubin Yintai in77,Hangzhou,A Area,L1,Louis Vuitton,Luxury,Luxury fashion and leather goods,Luxury,4000,80000,"luxury gifts, premium fashion, tourist flagship visit",luxury monogram premium fashion,"tourists, luxury shoppers, gift buyers",20,during_visit,browse,Save one product category you liked for later comparison.,Unlock premium discovery badge,points_only,birthday gift or collection launch reminder,Works for premium route personalization and flagship-store discovery.,lv louis vuitton luxury bag fashion,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-007,Hangzhou Hubin Yintai in77,Hangzhou,A Area,L1,GUCCI,Luxury,Luxury fashion and accessories,Luxury,3000,60000,"statement accessories, premium gifts, luxury browsing",luxury bold fashion accessories,"premium shoppers, tourists, gift buyers",20,during_visit,style_vote,Choose between two accessory styles and ask a friend to vote.,Unlock social shopping badge,points_only,matching accessory reminder,Good luxury stop when user likes bold or fashionable accessories.,gucci luxury accessory fashion gift,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-008,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Yves Saint Laurent,Beauty,Luxury beauty and fragrance,High,300,2500,"lipstick, fragrance, premium beauty gift",beauty luxury fragrance makeup elegant,"beauty users, gift buyers, young shoppers",25,during_visit,compare,Compare two lipstick or fragrance options and save one.,Unlock luxury beauty coupon,beauty_coupon,fragrance refill or lipstick restock reminder,"Strong match for beauty, gift, fragrance, and premium makeup intents.",ysl yves saint laurent beauty lipstick fragrance,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-009,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Clé de Peau Beauté,Beauty,High-end skincare and makeup,Luxury,600,4000,"premium skincare, high-end makeup, gift",luxury skincare elegant premium beauty,"skincare users, premium beauty users",25,during_visit,consultation,Complete one skincare match consultation.,Unlock premium beauty sample,sample_reward,serum or foundation replenishment reminder,Good for users seeking high-end skincare routines.,cle de peau beauty skincare makeup luxury,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-010,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Helena Rubinstein,Beauty,High-end skincare,Luxury,800,5000,anti-aging skincare and premium skin routine,luxury skincare science premium,"skincare users, mature beauty users",25,during_visit,consultation,Compare two skincare solutions for your skin goal.,Unlock consultation points,points_only,cream or serum refill reminder,Best for skincare-focused users with high budget.,helena rubinstein skincare premium,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
